parameter;process;inputs;outputs
default;mob_rail_fcev_pass_short;hydrogen_ren,hydrogen_conv;pkm_rail_short_exo
default;mob_rail_hyb_pass_ag;elec_ren,elec_conv,hydrogen_ren,hydrogen_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_rail_exo,CO2
default;mob_rail_hyb_pass_short_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_rail_short_exo,CO2
default;mob_rail_hyb_pass_short_hydrogen;elec_ren,elec_conv,hydrogen_ren,hydrogen_conv;pkm_rail_short_exo
default;mob_rail_ice_frei_ag;;tkm_rail_exo,CO2
default;mob_rail_ice_frei_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_rail_exo,CO2
default;mob_rail_ice_frei_ethanol_ag;ethanol,bioethanol;tkm_rail_exo,CO2
default;mob_rail_ice_frei_long_ammonia;ammonia_ren,ammonia_conv;tkm_rail_long_exo,CO2
default;mob_rail_ice_frei_long_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_rail_long_exo,CO2
default;mob_rail_ice_frei_long_ethanol;ethanol,bioethanol;tkm_rail_long_exo,CO2
default;mob_rail_ice_frei_short_ammonia;ammonia_ren,ammonia_conv;tkm_rail_short_exo,CO2
default;mob_rail_ice_frei_short_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_rail_short_exo,CO2
default;mob_rail_ice_frei_short_ethanol;ethanol,bioethanol;tkm_rail_short_exo,CO2
default;mob_rail_ice_pass_ag;;pkm_rail_exo,CO2
default;mob_rail_ice_pass_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_rail_exo,CO2
default;mob_rail_ice_pass_ethanol_ag;ethanol,bioethanol;pkm_rail_exo,CO2
default;mob_rail_ice_pass_long_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_rail_long_exo,CO2
default;mob_rail_ice_pass_long_ethanol;ethanol,bioethanol;pkm_rail_long_exo,CO2
default;mob_rail_ice_pass_short_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_rail_short_exo,CO2
default;mob_rail_ice_pass_short_ethanol;ethanol,bioethanol;pkm_rail_short_exo,CO2
default;mob_rail_oev_frei_long;elec_ren,elec_conv;tkm_rail_long_exo
default;mob_rail_oev_pass_ag;elec_ren,elec_conv;pkm_rail_exo
default;mob_rail_oev_pass_long;elec_ren,elec_conv;pkm_rail_long_exo
default;mob_rail_oev_pass_short;elec_ren,elec_conv;pkm_rail_short_exo
default;mob_rail_steam_pass_coal;coal;pkm_rail_steam_exo,CO2
default;mob_road_bus_bev_pass_short;elec_ren,elec_conv;pkm_road_bus_exo
default;mob_road_bus_fcev_pass_ag;hydrogen_ren,hydrogen_conv;pkm_road_bus_exo
default;mob_road_bus_fcev_pass_long;hydrogen_ren,hydrogen_conv;pkm_road_bus_long_exo
default;mob_road_bus_fcev_pass_short;hydrogen_ren,hydrogen_conv;pkm_road_bus_exo
default;mob_road_bus_hyb_pass_ag;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_bus_exo,CO2
default;mob_road_bus_hyb_pass_diesel_ag;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_bus_exo,CO2
default;mob_road_bus_hyb_pass_long_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_bus_long_exo,CO2
default;mob_road_bus_hyb_pass_short_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_bus_exo,CO2
default;mob_road_bus_ice_pass_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_bus_exo,CO2
default;mob_road_bus_ice_pass_long_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_bus_long_exo,CO2
default;mob_road_bus_ice_pass_short_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_bus_exo,CO2
default;mob_road_car_bev_pass_ag;elec_ren,elec_conv;pkm_road_car_exo
default;mob_road_car_fcev_pass_ag;hydrogen_ren,hydrogen_conv;pkm_road_car_exo
default;mob_road_car_hyb_pass_ag;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_car_exo,CO2
default;mob_road_car_hyb_pass_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_car_exo,CO2
default;mob_road_car_hyb_pass_gasoline_ag;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel,ethanol,bioethanol,hydrogen_ren,hydrogen_conv,CNG,LPG,gasoline,syngasoline_ren,syngasoline_conv,biogasoline,methanol,biomethanol;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_cng_ag;CNG;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_ethanol_ag;ethanol,bioethanol;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_flex_ag;gasoline,ethanol,bioethanol;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_gasoline_ag;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_hydrogen_ag;hydrogen_ren,hydrogen_conv;pkm_road_car_exo
default;mob_road_car_ice_pass_lpg_ag;LPG;pkm_road_car_exo,CO2
default;mob_road_car_ice_pass_methanol_ag;methanol,biomethanol;pkm_road_car_exo,CO2
default;mob_road_htruck_fcev_frei;hydrogen_ren,hydrogen_conv;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo
default;mob_road_htruck_fcev_frei_ag;hydrogen_ren,hydrogen_conv,ammonia_ren,ammonia_conv;tkm_road_truck_exo,CO2
default;mob_road_htruck_fcev_frei_ammonia;ammonia_ren,ammonia_conv;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo,CO2
default;mob_road_htruck_ice_frei_cng;CNG;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo,CO2
default;mob_road_htruck_ice_frei_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo,CO2
default;mob_road_htruck_ice_frei_ethanol;ethanol,bioethanol;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo,CO2
default;mob_road_htruck_ice_frei_hydrogen;hydrogen_ren,hydrogen_conv;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo
default;mob_road_htruck_ice_frei_lng;LNG;tkm_road_htruck_short_exo,tkm_road_htruck_long_exo,CO2
default;mob_road_htruck_oev_frei;elec_ren,elec_conv;tkm_road_htruck_long_exo
default;mob_road_lcar_bev_pass;elec_ren,elec_conv;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo
default;mob_road_lcar_fcev_pass;hydrogen_ren,hydrogen_conv;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo
default;mob_road_lcar_hyb_pass_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_hyb_pass_gasoline;elec_ren,elec_conv,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_cng;CNG;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_ethanol;ethanol,bioethanol;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_flex;gasoline,ethanol,bioethanol;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_gasoline;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_hydrogen;hydrogen_ren,hydrogen_conv;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo
default;mob_road_lcar_ice_pass_lpg;LPG;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_lcar_ice_pass_methanol;methanol,biomethanol;pkm_road_lcar_short_exo,pkm_road_lcar_long_exo,CO2
default;mob_road_ltruck_bev_frei;elec_ren,elec_conv;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo
default;mob_road_ltruck_fcev_frei;hydrogen_ren,hydrogen_conv;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo
default;mob_road_ltruck_hyb_frei_ag;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;tkm_road_truck_exo,CO2
default;mob_road_ltruck_hyb_frei_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_hyb_frei_gasoline;elec_ren,elec_conv,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_cng;CNG;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_ethanol;ethanol,bioethanol;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_gasoline;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_hydrogen;hydrogen_ren,hydrogen_conv;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo
default;mob_road_ltruck_ice_frei_lng;LNG;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_lpg;LPG;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_ltruck_ice_frei_methanol;methanol,biomethanol;tkm_road_ltruck_short_exo,tkm_road_ltruck_long_exo,CO2
default;mob_road_mcar_bev_pass;elec_ren,elec_conv;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo
default;mob_road_mcar_fcev_pass;hydrogen_ren,hydrogen_conv;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo
default;mob_road_mcar_hyb_pass_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_hyb_pass_gasoline;elec_ren,elec_conv,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_cng;CNG;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_ethanol;ethanol,bioethanol;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_flex;gasoline,ethanol,bioethanol;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_gasoline;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_hydrogen;hydrogen_ren,hydrogen_conv;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo
default;mob_road_mcar_ice_pass_lpg;LPG;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_mcar_ice_pass_methanol;methanol,biomethanol;pkm_road_mcar_short_exo,pkm_road_mcar_long_exo,CO2
default;mob_road_motorc_bev_pass;elec_ren,elec_conv;pkm_road_motorc_short_exo,pkm_road_motorc_long_exo
default;mob_road_motorc_ice_pass_gasoline;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_motorc_short_exo,pkm_road_motorc_long_exo,CO2
default;mob_road_scar_bev_pass;elec_ren,elec_conv;pkm_road_scar_short_exo,pkm_road_scar_long_exo
default;mob_road_scar_fcev_pass;hydrogen_ren,hydrogen_conv;pkm_road_scar_short_exo,pkm_road_scar_long_exo
default;mob_road_scar_hyb_pass_diesel;elec_ren,elec_conv,diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_hyb_pass_gasoline;elec_ren,elec_conv,gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_cng;CNG;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_ethanol;ethanol,bioethanol;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_flex;gasoline,ethanol,bioethanol;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_gasoline;gasoline,syngasoline_ren,syngasoline_conv,biogasoline;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_hydrogen;hydrogen_ren,hydrogen_conv;pkm_road_scar_short_exo,pkm_road_scar_long_exo
default;mob_road_scar_ice_pass_lpg;LPG;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_scar_ice_pass_methanol;methanol,biomethanol;pkm_road_scar_short_exo,pkm_road_scar_long_exo,CO2
default;mob_road_truck_fcev_frei_ag;hydrogen_ren,hydrogen_conv;tkm_road_truck_exo
default;mob_road_truck_ice_frei_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel,ethanol,bioethanol,hydrogen_ren,hydrogen_conv,CNG,LNG,LPG,gasoline,syngasoline_ren,syngasoline_conv,biogasoline,methanol,biomethanol;tkm_road_truck_exo,CO2
default;mob_road_truck_ice_frei_cng_ag;CNG;tkm_road_truck_exo,CO2
default;mob_road_truck_ice_frei_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_road_truck_exo,CO2
default;mob_road_truck_ice_frei_ethanol_ag;ethanol,bioethanol;tkm_road_truck_exo,CO2
default;mob_road_truck_ice_frei_hydrogen_ag;hydrogen_ren,hydrogen_conv;tkm_road_truck_exo
default;mob_road_truck_ice_frei_lng_ag;LNG;tkm_road_truck_exo,CO2
default;mob_road_vehispec_ice_frei_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_agriculture_exo,CO2
default;mob_water_fcev_frei_ag;hydrogen_ren,hydrogen_conv;tkm_water_exo
default;mob_water_fcev_frei_ammonia_ag;ammonia_ren,ammonia_conv;tkm_water_exo
default;mob_water_fcev_frei_down;hydrogen_ren,hydrogen_conv;tkm_water_down_exo
default;mob_water_fcev_frei_down_ammonia;ammonia_ren,ammonia_conv;tkm_water_down_exo
default;mob_water_fcev_frei_up;hydrogen_ren,hydrogen_conv;tkm_water_up_exo
default;mob_water_fcev_frei_up_ammonia;ammonia_ren,ammonia_conv;tkm_water_up_exo
default;mob_water_ice_frei_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_water_exo,CO2
default;mob_water_ice_frei_diesel_ag;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_water_exo,CO2
default;mob_water_ice_frei_down_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_water_down_exo,CO2
default;mob_water_ice_frei_down_ethanol;ethanol,bioethanol;tkm_water_down_exo,CO2
default;mob_water_ice_frei_down_hydrogen;hydrogen_ren,hydrogen_conv;tkm_water_down_exo
default;mob_water_ice_frei_down_lng;LNG;tkm_water_down_exo,CO2
default;mob_water_ice_frei_down_methanol;methanol,biomethanol;tkm_water_down_exo,CO2
default;mob_water_ice_frei_ethanol_ag;ethanol,bioethanol;tkm_water_exo,CO2
default;mob_water_ice_frei_hydrogen_ag;hydrogen_ren,hydrogen_conv;tkm_water_exo
default;mob_water_ice_frei_lng_ag;LNG;tkm_water_exo,CO2
default;mob_water_ice_frei_methanol_ag;methanol,biomethanol;tkm_water_exo,CO2
default;mob_water_ice_frei_up_diesel;diesel,syndiesel_ren,syndiesel_conv,biodiesel;tkm_water_up_exo,CO2
default;mob_water_ice_frei_up_ethanol;ethanol,bioethanol;tkm_water_up_exo,CO2
default;mob_water_ice_frei_up_hydrogen;hydrogen_ren,hydrogen_conv;tkm_water_up_exo
default;mob_water_ice_frei_up_lng;LNG;tkm_water_up_exo,CO2
default;mob_water_ice_frei_up_methanol;methanol,biomethanol;tkm_water_up_exo,CO2
default;pow_combustion_cc_ag;coal,biomass,waste,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,heating_oil;elec_ren,elec_conv,CO2
default;pow_combustion_cc_biomass;biomass;elec_ren
default;pow_combustion_cc_ccs_ag;coal,biomass,waste,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,heating_oil;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_cc_ccs_biomass;biomass;elec_ren,CO2_neg
default;pow_combustion_cc_ccs_coal;coal;elec_conv,CO2
default;pow_combustion_cc_ccs_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_cc_ccs_natgas;natgas;elec_conv,CO2
default;pow_combustion_cc_ccs_sng;SNG_ren,SNG_conv;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_cc_ccs_waste;waste;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_cc_chp_ag;coal,biomass,waste,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,heating_oil;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_cc_chp_biomass;biomass;elec_ren,heat
default;pow_combustion_cc_chp_ccs_ag;coal,biomass,waste,natgas,SNG_ren,SNG_conv,heating_oil;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_cc_chp_ccs_biomass;biomass;elec_ren,CO2_neg,heat
default;pow_combustion_cc_chp_ccs_coal;coal;elec_conv,CO2,heat
default;pow_combustion_cc_chp_ccs_heating_oil;heating_oil;elec_conv,CO2,heat
default;pow_combustion_cc_chp_ccs_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_cc_chp_ccs_sng;SNG_ren,SNG_conv;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_cc_chp_ccs_waste;waste;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_cc_chp_coal;coal;elec_conv,CO2,heat
default;pow_combustion_cc_chp_heating_oil;heating_oil;elec_conv,CO2,heat
default;pow_combustion_cc_chp_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,heat,elec_conv,heat
default;pow_combustion_cc_chp_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_cc_chp_sng;SNG_ren,SNG_conv;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_cc_chp_waste;waste;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_cc_coal;coal;elec_conv,CO2
default;pow_combustion_cc_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_cc_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,elec_conv
default;pow_combustion_cc_natgas;natgas;elec_conv,CO2
default;pow_combustion_cc_sng;SNG_ren,SNG_conv;elec_ren,elec_conv,CO2
default;pow_combustion_cc_waste;waste;elec_ren,elec_conv,CO2
default;pow_combustion_gt_ag;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,heating_oil;elec_ren,elec_conv,CO2
default;pow_combustion_gt_biogas;biogas;elec_ren
default;pow_combustion_gt_ccs_ag;biogas,natgas,SNG_ren,SNG_conv,heating_oil;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_gt_ccs_biogas;biogas;elec_ren,CO2_neg
default;pow_combustion_gt_ccs_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_gt_ccs_natgas;natgas;elec_conv,CO2
default;pow_combustion_gt_ccs_sng;SNG_ren,SNG_conv;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_gt_chp_ag;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,heating_oil;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_gt_chp_biogas;biogas;elec_ren,heat
default;pow_combustion_gt_chp_ccs_ag;biogas,natgas,SNG_ren,SNG_conv,heating_oil;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_gt_chp_ccs_biogas;biogas;elec_ren,CO2_neg,heat
default;pow_combustion_gt_chp_ccs_heating_oil;heating_oil;elec_conv,CO2,heat
default;pow_combustion_gt_chp_ccs_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,heat,elec_conv,heat
default;pow_combustion_gt_chp_ccs_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_gt_chp_ccs_sng;SNG_ren,SNG_conv;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_gt_chp_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_gt_chp_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,heat,elec_conv,heat
default;pow_combustion_gt_chp_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_gt_chp_sng;SNG_ren,SNG_conv;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_gt_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_gt_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,elec_conv
default;pow_combustion_gt_natgas;natgas;elec_conv,CO2
default;pow_combustion_gt_sng;SNG_ren,SNG_conv;elec_ren,elec_conv,CO2
default;pow_combustion_ic_ag;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,diesel,biodiesel,syngas_ren;elec_ren,elec_conv,CO2
default;pow_combustion_ic_biogas;biogas;elec_ren
default;pow_combustion_ic_ccs_ag;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,diesel,biodiesel,syngas_ren;elec_ren,elec_conv,CO2
default;pow_combustion_ic_ccs_biogas;biogas;elec_ren
default;pow_combustion_ic_ccs_diesel;diesel,biodiesel;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_ic_ccs_natgas;natgas;elec_conv,CO2
default;pow_combustion_ic_ccs_sng;SNG_ren,SNG_conv;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_ic_ccs_syngas;syngas_ren;elec_ren,CO2_neg
default;pow_combustion_ic_chp_ag;biogas,natgas,SNG_ren,SNG_conv,hydrogen_ren,hydrogen_conv,diesel,biodiesel,syngas_ren;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_ic_chp_biogas;biogas;elec_ren,heat
default;pow_combustion_ic_chp_ccs_ag;biogas,natgas,SNG_ren,SNG_conv,diesel,biodiesel,syngas_ren;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_ic_chp_ccs_biogas;biogas;elec_ren,CO2_neg,heat
default;pow_combustion_ic_chp_ccs_diesel;diesel,biodiesel;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_ic_chp_ccs_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_ic_chp_ccs_sng;SNG_ren,SNG_conv;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_ic_chp_ccs_syngas;syngas_ren;elec_ren,CO2_neg,heat
default;pow_combustion_ic_chp_diesel;diesel,biodiesel;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_ic_chp_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,heat,elec_conv,heat
default;pow_combustion_ic_chp_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_ic_chp_sng;SNG_ren,SNG_conv;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_ic_chp_syngas;syngas_ren;elec_ren,heat
default;pow_combustion_ic_diesel;diesel,biodiesel;elec_ren,elec_conv,CO2
default;pow_combustion_ic_hydrogen;hydrogen_ren,hydrogen_conv;elec_ren,elec_conv
default;pow_combustion_ic_natgas;natgas;elec_conv,CO2
default;pow_combustion_ic_sng;SNG_ren,SNG_conv;elec_ren,elec_conv,CO2
default;pow_combustion_ic_syngas;syngas_ren;elec_ren
default;pow_combustion_st_ag;coal,biomass,waste,natgas,heating_oil;elec_ren,elec_conv,CO2
default;pow_combustion_st_biomass;biomass;elec_ren
default;pow_combustion_st_ccs_ag;coal,biomass,waste,natgas,heating_oil;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_st_ccs_biomass;biomass;elec_ren,CO2_neg
default;pow_combustion_st_ccs_coal;coal;elec_conv,CO2
default;pow_combustion_st_ccs_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_st_ccs_natgas;natgas;elec_conv,CO2
default;pow_combustion_st_ccs_waste;waste;elec_ren,CO2_neg,elec_conv,CO2
default;pow_combustion_st_chp_ag;coal,biomass,waste,natgas,heating_oil;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_st_chp_biomass;biomass;elec_ren,heat
default;pow_combustion_st_chp_ccs_ag;coal,biomass,waste,natgas,heating_oil;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_st_chp_ccs_biomass;biomass;elec_ren,CO2_neg,heat
default;pow_combustion_st_chp_ccs_coal;coal;elec_conv,CO2,heat
default;pow_combustion_st_chp_ccs_heating_oil;heating_oil;elec_conv,CO2,heat
default;pow_combustion_st_chp_ccs_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_st_chp_ccs_waste;waste;elec_ren,CO2_neg,heat,elec_conv,CO2,heat
default;pow_combustion_st_chp_coal;coal;elec_conv,CO2,heat
default;pow_combustion_st_chp_heating_oil;heating_oil;elec_conv,CO2,heat
default;pow_combustion_st_chp_natgas;natgas;elec_conv,CO2,heat
default;pow_combustion_st_chp_waste;waste;elec_ren,heat,elec_conv,CO2,heat
default;pow_combustion_st_coal;coal;elec_conv,CO2
default;pow_combustion_st_heating_oil;heating_oil;elec_conv,CO2
default;pow_combustion_st_natgas;natgas;elec_conv,CO2
default;pow_combustion_st_waste;waste;elec_ren,elec_conv,CO2
default;pow_geothermal_orc;geothermal_heat;elec_ren
ceff_spaceheat;pow_geothermal_orc_chp;geothermal_heat;heat
ceff_waterheat;pow_geothermal_orc_chp;geothermal_heat;elec_ren
default;pow_geothermal_orc_chp;geothermal_heat;elec_ren,heat
default;pow_geothermal_st;geothermal_heat;elec_ren
default;pow_geothermal_st_chp;geothermal_heat;elec_ren,heat
default;pow_hydro_pond;hydro_energy;elec_ren
default;pow_hydro_ror;hydro_energy;elec_ren
default;pow_hydro_ror,pond;hydro_energy;elec_ren
default;pow_nuclear_fis;uran;elec_ren
default;pow_nuclear_fus;deuterium;elec_ren
